																																			N	A
              A	         Time																																		1500	6807
6807	93																																		2000	6204
6204	109																																		2500	4118
4118	93																																		3000	1954
1954	46																																		3500	403
403	15																																		4000	5878
5878	218																																		4500	8642
8642	343																																		5000	7761
7761	343																																		5500	7397
7397	359																																		6000	1682
1682	93																																		6500	9708
9708	546																																		7000	2858
2858	171																																		7500	9722
9722	656																																		8000	7824
7824	546																																		8500	9710
9710	734																																		9000	9585
9585	750																																		9500	9819
9819	828																																		10000	4353
4353	359																																			
																																				
																																				
																																				
              n 	         Time																																			
1500	93																																			
2000	109																																			
2500	93																																			
3000	46																																			
3500	15																																			
4000	218																																			
4500	343																																			
5000	343																																			
5500	359																																			
6000	93																																			
6500	546																																			
7000	171																																			
7500	656																																			
8000	546																																			
8500	734																																			
9000	750																																			
9500	828																																			
10000	359																																			
																																				
																																				
																																				
            nA	         Time																																			
10210500	93																																			
12408000	109																																			
10295000	93																																			
5862000	46																																			
1410500	15																																			
23512000	218																																			
38889000	343																																			
38805000	343																																			
40683500	359																																			
10092000	93																																			
63102000	546																																			
20006000	171																																			
72915000	656																																			
62592000	546																																			
82535000	734																																			
86265000	750																																			
93280500	828																																			
43530000	359																																			
